period,value,updated
1989Q1,6.2,2018-12-19T00:00:00.000Z
1989Q2,5.6,2018-12-19T00:00:00.000Z
1989Q3,4.9,2018-12-19T00:00:00.000Z
1989Q4,5.5,2018-12-19T00:00:00.000Z
1990Q1,5.8,2018-12-19T00:00:00.000Z
1990Q2,7.2,2018-12-19T00:00:00.000Z
1990Q3,8.9,2018-12-19T00:00:00.000Z
1990Q4,10.4,2018-12-19T00:00:00.000Z
1991Q1,9.9,2018-12-19T00:00:00.000Z
1991Q2,8.4,2018-12-19T00:00:00.000Z
1991Q3,7.9,2018-12-19T00:00:00.000Z
1991Q4,5.9,2018-12-19T00:00:00.000Z
1992Q1,5.5,2018-12-19T00:00:00.000Z
1992Q2,3.8,2018-12-19T00:00:00.000Z
1992Q3,0.3,2018-12-19T00:00:00.000Z
1992Q4,-0.4,2018-12-19T00:00:00.000Z
1993Q1,-0.5,2018-12-19T00:00:00.000Z
1993Q2,-1.5,2018-12-19T00:00:00.000Z
1993Q3,-2.0,2018-12-19T00:00:00.000Z
1993Q4,-1.5,2018-12-19T00:00:00.000Z
1994Q1,-1.8,2018-12-19T00:00:00.000Z
1994Q2,6.0,2018-12-19T00:00:00.000Z
1994Q3,6.8,2018-12-19T00:00:00.000Z
1994Q4,6.4,2018-12-19T00:00:00.000Z
1995Q1,7.5,2018-12-19T00:00:00.000Z
1995Q2,0.4,2018-12-19T00:00:00.000Z
1995Q3,0.3,2018-12-19T00:00:00.000Z
1995Q4,0.6,2018-12-19T00:00:00.000Z
1996Q1,0.6,2018-12-19T00:00:00.000Z
1996Q2,0.5,2018-12-19T00:00:00.000Z
1996Q3,0.6,2018-12-19T00:00:00.000Z
1996Q4,-0.1,2018-12-19T00:00:00.000Z
1997Q1,-1.1,2015-10-12T23:00:00.000Z
1997Q2,-1.8,2015-10-12T23:00:00.000Z
1997Q3,-3.5,2015-10-12T23:00:00.000Z
1997Q4,-5.1,2015-10-12T23:00:00.000Z
1998Q1,-5.3,2015-10-12T23:00:00.000Z
1998Q2,-5.1,2015-10-12T23:00:00.000Z
1998Q3,-4.3,2015-10-12T23:00:00.000Z
1998Q4,-1.9,2015-10-12T23:00:00.000Z
1999Q1,-0.9,2015-10-12T23:00:00.000Z
1999Q2,-0.7,2015-10-12T23:00:00.000Z
1999Q3,0.4,2015-10-12T23:00:00.000Z
1999Q4,0.8,2015-10-12T23:00:00.000Z
2000Q1,1.1,2015-10-12T23:00:00.000Z
2000Q2,-0.5,2015-10-12T23:00:00.000Z
2000Q3,-0.4,2015-10-12T23:00:00.000Z
2000Q4,0.2,2015-10-12T23:00:00.000Z
2001Q1,-1.4,2015-10-12T23:00:00.000Z
2001Q2,2.0,2015-10-12T23:00:00.000Z
2001Q3,1.8,2015-10-12T23:00:00.000Z
2001Q4,-0.3,2015-10-12T23:00:00.000Z
2002Q1,2.7,2015-10-12T23:00:00.000Z
2002Q2,1.7,2015-10-12T23:00:00.000Z
2002Q3,1.6,2015-10-12T23:00:00.000Z
2002Q4,2.8,2015-10-12T23:00:00.000Z
2003Q1,1.9,2015-10-12T23:00:00.000Z
2003Q2,1.0,2015-10-12T23:00:00.000Z
2003Q3,1.8,2015-10-12T23:00:00.000Z
2003Q4,2.4,2015-10-12T23:00:00.000Z
2004Q1,3.2,2015-10-12T23:00:00.000Z
